地市,告警最后发生时间,网元名称,告警标题,网络类型,网络专业,厂商告警号,原始告警名称,告警定位信息,家宽客户数量,网管告警级别,集客业务数量,设备厂家名称,告警工程状态,告警清除状态,告警对象设备类型,告警对象设备名称,设备类型,预处理状态,衍生规则结果,工单号,告警清除时间,标准化标志,衍生时间,预计创单时间,告警首次处理时间,告警首次采集时间,集客客户级别,集客业务级别,电路ID,是否隐患告警,集客专线跨域属性,集客客户数量,跨省集客告警信息,探针名称,RCA资源匹配参数,ONU标识,IT专业设备CI号,网管告警ID
宁波市,2023/6/16 12:29,cmiot5gtpdznb.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:宁波拓普汽车电子有限公司5G专网项目,2023-06-16 12:29:50出现宁波拓普汽车电子有限公司5G专网项目DNN用户数较预测值突降异常预警，当前用户数3,预测用户数6。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gtpdznb.zj,5G业务性能,未诊断,正常,ZQ-1-017-20230616-00271,2023/6/16 12:37,标准化成功,,2023/6/16 12:34,2023/6/16 12:29,2023/6/16 12:29,,A,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
绍兴市,2023/6/16 8:02,cmiot5gsxzxdqszh.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:5G数字化车间项目,2023-06-16 08:02:25出现绍兴中新电器有限公司5G数字化车间项目DNN用户数较预测值突降异常预警，当前用户数5,预测用户数11。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gsxzxdqszh.zj,5G业务性能,未诊断,正常,ZQ-1-017-20230616-00006,2023/6/16 8:54,标准化成功,,2023/6/16 8:07,2023/6/16 8:02,2023/6/16 8:02,,A,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
宁波市,2023/6/16 0:32,cmiot5gtpdznb.zj,宁波拓普汽车电子有限公司5G专网项目业务中断超2.5小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:宁波拓普汽车电子有限公司5G专网项目,2023-06-15 22:01:55出现宁波拓普汽车电子有限公司5G专网项目DNN用户数较预测值突降异常预警，当前用户数3,预测用户数7。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gtpdznb.zj,5G业务性能,未诊断,衍生父告警,,2023/6/16 8:10,标准化成功,2023/6/16 0:32,,2023/6/16 0:32,,,A,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999111
宁波市,2023/6/15 22:01,cmiot5gtpdznb.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:宁波拓普汽车电子有限公司5G专网项目,2023-06-15 22:01:55出现宁波拓普汽车电子有限公司5G专网项目DNN用户数较预测值突降异常预警，当前用户数3,预测用户数7。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gtpdznb.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230615-00589,2023/6/16 8:09,标准化成功,2023/6/16 0:32,2023/6/15 22:06,2023/6/15 22:01,2023/6/15 22:01,,A,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
温州市,2023/6/13 16:06,cmiot5gwzrarmyy.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:瑞安市人民医院5G专网_BL,2023-06-13 16:06:13出现瑞安市人民医院5G专网项目DNN用户数较预测值突降异常预警，当前用户数2,预测用户数25。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gwzrarmyy.zj,5G业务性能,未诊断,正常,ZQ-1-017-20230613-00416,2023/6/13 17:06,标准化成功,,2023/6/13 16:11,2023/6/13 16:06,2023/6/13 16:06,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10_2,,,,2002-007-421-20-999106
宁波市,2023/6/12 23:23,cmiot5gzhlhnb.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:浙江宁波镇海炼化5G智慧园区项目##浙江宁波镇海炼化5G智慧园区项目,2023-06-12 23:23:17出现浙江宁波镇海炼化5G智慧园区项目DNN用户数较预测值突降异常预警，当前用户数162,预测用户数202。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gzhlhnb.zj,5G业务性能,未诊断,正常,,2023/6/12 23:28,标准化成功,,2023/6/12 23:28,2023/6/12 23:23,2023/6/12 23:23,,AAA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
宁波市,2023/6/12 4:45,cmiot5gyyzldznb.zj,宁波志伦电子5G+智能化工厂建设项目业务中断超1.5小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:宁波志伦电子5G+智能化工厂建设项目,2023-06-12 03:15:53出现宁波志伦电子5G+智能化工厂建设项目DNN用户数全掉线异常预警，当前用户数0。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gyyzldznb.zj,5G业务性能,未诊断,衍生父告警,,2023/6/12 7:36,标准化成功,2023/6/12 4:45,,2023/6/12 4:45,,,AAA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999111
宁波市,2023/6/12 3:15,cmiot5gyyzldznb.zj,DNN用户数全掉线异常预警,5G专网,集客,11000003,,"项目名称:宁波志伦电子5G+智能化工厂建设项目,2023-06-12 03:15:53出现宁波志伦电子5G+智能化工厂建设项目DNN用户数全掉线异常预警，当前用户数0。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gyyzldznb.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230612-00036,2023/6/12 7:35,标准化成功,2023/6/12 4:45,2023/6/12 3:20,2023/6/12 3:15,2023/6/12 3:15,,AAA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999107
嘉兴市,2023/6/4 10:00,cmiot5gjxjqqsss1.zj,麒盛科技股份有限公司订购5G专网专享开通业务业务中断超2小时,5G专网,集客,2002-007-421-20-999111,XXX项目业务中断超X小时,"项目名称:麒盛科技股份有限公司订购5G专网专享开通业务,2023-06-04 08:00:25出现嘉兴麒盛科技股份有限公司DNN用户数较预测值突降异常预警，当前用户数0,预测用户数9。",0,四级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjxjqqsss1.zj,5G业务性能,未诊断,衍生父告警,,2023/6/5 7:36,标准化成功,2023/6/4 10:00,,2023/6/4 10:00,,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999111
嘉兴市,2023/6/4 8:00,cmiot5gjxjqqsss1.zj,DNN用户数较预测值突降异常预警,5G专网,集客,11000002,,"项目名称:麒盛科技股份有限公司订购5G专网专享开通业务,2023-06-04 08:00:25出现嘉兴麒盛科技股份有限公司DNN用户数较预测值突降异常预警，当前用户数0,预测用户数9。",0,三级告警,0,华为,正常,已清除,5G业务性能,cmiot5gjxjqqsss1.zj,5G业务性能,未诊断,衍生子告警,ZQ-1-017-20230604-00148,2023/6/5 7:36,标准化成功,2023/6/4 10:00,2023/6/4 8:05,2023/6/4 8:00,2023/6/4 8:00,,AA,,,地市内,0,,gz_px_Alarm_SJYWPTlarm_r2p10,,,,2002-007-421-20-999106
